Marca temporal,platillo 
2/5/2024 16:06:32,fritanga
2/5/2024 16:06:34,nacatamal
2/5/2024 16:06:36,fritanga
2/5/2024 16:06:37,Quesillo
2/5/2024 16:06:38,nacatamal
2/5/2024 16:06:38,fritanga
2/5/2024 16:06:40,Quesillo
2/5/2024 16:06:42,nacatamal
2/5/2024 16:06:44,Quesillo
2/5/2024 16:06:45,Quesillo
2/5/2024 16:06:46,fritanga
2/5/2024 16:06:46,enchilada
2/5/2024 16:06:47,nacatamal
2/5/2024 16:06:48,enchilada
2/5/2024 16:06:49,Quesillo
2/5/2024 16:06:49,fritanga
2/5/2024 16:06:51,nacatamal
2/5/2024 16:06:52,fritanga
2/5/2024 16:06:53,enchilada
2/5/2024 16:06:55,enchilada
2/5/2024 16:06:55,fritanga
2/5/2024 16:06:55,Quesillo
2/5/2024 16:06:57,nacatamal
2/5/2024 16:06:57,fritanga
2/5/2024 16:06:57,enchilada
2/5/2024 16:06:59,Quesillo
2/5/2024 16:06:59,Baho
2/5/2024 16:07:00,enchilada
2/5/2024 16:07:00,nacatamal
2/5/2024 16:07:00,fritanga
2/5/2024 16:07:02,Quesillo
2/5/2024 16:07:02,enchilada
2/5/2024 16:07:04,nacatamal
2/5/2024 16:07:05,Baho
2/5/2024 16:07:05,Quesillo
2/5/2024 16:07:08,nacatamal
2/5/2024 16:07:09,Baho
2/5/2024 16:07:10,fritanga
2/5/2024 16:07:10,fritanga
2/5/2024 16:07:13,Quesillo
2/5/2024 16:07:14,Baho
2/5/2024 16:07:15,fritanga
2/5/2024 16:07:16,Quesillo
2/5/2024 16:07:18,nacatamal
2/5/2024 16:07:21,nacatamal
2/5/2024 16:07:23,nacatamal
2/5/2024 16:07:23,fritanga
2/5/2024 16:07:25,Quesillo
2/5/2024 16:07:25,fritanga
2/5/2024 16:07:26,Baho
2/5/2024 16:07:28,enchilada
2/5/2024 16:07:28,fritanga
2/5/2024 16:07:29,fritanga
2/5/2024 16:07:30,fritanga
2/5/2024 16:07:30,enchilada
2/5/2024 16:07:31,Quesillo
2/5/2024 16:07:33,vigoron
2/5/2024 16:07:33,vigoron
2/5/2024 16:07:33,nacatamal
2/5/2024 16:07:34,fritanga
2/5/2024 16:07:35,indio_viejo
2/5/2024 16:07:35,fritanga
2/5/2024 16:07:36,enchilada
2/5/2024 16:07:37,indio_viejo
2/5/2024 16:07:38,Quesillo
2/5/2024 16:07:38,Baho
2/5/2024 16:07:39,fritanga
2/5/2024 16:07:39,nacatamal
2/5/2024 16:07:39,indio_viejo
2/5/2024 16:07:40,Baho
2/5/2024 16:07:40,fritanga
2/5/2024 16:07:41,vigoron
2/5/2024 16:07:41,indio_viejo
2/5/2024 16:07:43,Quesillo
2/5/2024 16:07:43,Baho
2/5/2024 16:07:43,indio_viejo
2/5/2024 16:07:44,fritanga
2/5/2024 16:07:44,fritanga
2/5/2024 16:07:44,fritanga
2/5/2024 16:07:45,indio_viejo
2/5/2024 16:07:47,Baho
2/5/2024 16:07:47,fritanga
2/5/2024 16:07:47,Baho
2/5/2024 16:07:48,fritanga
2/5/2024 16:07:48,nacatamal
2/5/2024 16:07:48,nacatamal
2/5/2024 16:07:50,fritanga
2/5/2024 16:07:50,fritanga
2/5/2024 16:07:51,Baho
2/5/2024 16:07:52,Baho
